TIME	Discharge	H-Well	Concentration
  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    
  2988.8889    	  0.0000000    	  159.97147    	 -1.0000000    
  6874.4443    	  0.0000000    	  159.97147    	 -1.0000000    
  11925.666    	  0.0000000    	  159.97147    	 -1.0000000    
  18492.254    	  0.0000000    	  159.97147    	 -1.0000000    
  27028.816    	  0.0000000    	  159.97148    	 -1.0000000    
  38126.348    	  0.0000000    	  159.97148    	 -1.0000000    
  52553.141    	  0.0000000    	  159.97148    	 -1.0000000    
  71307.969    	  0.0000000    	  159.97148    	 -1.0000000    
  95689.242    	  0.0000000    	  159.97148    	 -1.0000000    
  127384.90    	  0.0000000    	  159.97148    	 -1.0000000    
  168589.25    	  0.0000000    	  159.97149    	 -1.0000000    
  222154.91    	  0.0000000    	  159.97149    	 -1.0000000    
  291790.25    	  0.0000000    	  159.97149    	 -1.0000000    
  382316.19    	  0.0000000    	  159.97149    	 -1.0000000    
  499999.94    	  0.0000000    	  159.97149    	 -1.0000000    
  502988.81    	 -66850.000    	  147.75756    	 -1.0000000    
  506874.38    	 -66850.000    	  147.75757    	 -1.0000000    
  511925.59    	 -66850.000    	  147.75757    	 -1.0000000    
  518492.19    	 -66850.000    	  147.75757    	 -1.0000000    
  527028.75    	 -66850.000    	  147.75757    	 -1.0000000    
  538126.31    	 -66850.000    	  147.75757    	 -1.0000000    
  552553.12    	 -66850.000    	  147.75757    	 -1.0000000    
  571307.94    	 -66850.000    	  147.75757    	 -1.0000000    
  595689.19    	 -66850.000    	  147.75757    	 -1.0000000    
  627384.88    	 -66850.000    	  147.75757    	 -1.0000000    
  668589.25    	 -66850.000    	  147.75757    	 -1.0000000    
  722154.88    	 -66850.000    	  147.75757    	 -1.0000000    
  791790.25    	 -66850.000    	  147.75757    	 -1.0000000    
  882316.19    	 -66850.000    	  147.75757    	 -1.0000000    
  999999.94    	 -66850.000    	  147.75757    	 -1.0000000    
  1000000.3    	 -66850.000    	  147.75421    	 -1.0000000    
  1000000.8    	 -66850.000    	  147.74696    	 -1.0000000    
  1000001.4    	 -66850.000    	  147.73540    	 -1.0000000    
  1000002.2    	 -66850.000    	  147.71904    	 -1.0000000    
  1000003.2    	 -66850.000    	  147.69710    	 -1.0000000    
  1000004.5    	 -66850.000    	  147.66838    	 -1.0000000    
  1000006.2    	 -66850.000    	  147.63114    	 -1.0000000    
  1000008.5    	 -66850.000    	  147.58308    	 -1.0000000    
  1000011.4    	 -66850.000    	  147.52118    	 -1.0000000    
  1000015.2    	 -66850.000    	  147.44161    	 -1.0000000    
  1000020.2    	 -66850.000    	  147.33957    	 -1.0000000    
  1000026.6    	 -66850.000    	  147.20903    	 -1.0000000    
  1000035.0    	 -66850.000    	  147.04253    	 -1.0000000    
  1000045.9    	 -66850.000    	  146.83086    	 -1.0000000    
  1000060.0    	 -66850.000    	  146.56289    	 -1.0000000    
  1000061.1    	 -66850.000    	  146.53602    	 -1.0000000    
  1000062.4    	 -66850.000    	  146.49840    	 -1.0000000    
  1000064.2    	 -66850.000    	  146.44872    	 -1.0000000    
  1000066.6    	 -66850.000    	  146.38422    	 -1.0000000    
  1000069.7    	 -66850.000    	  146.30088    	 -1.0000000    
  1000073.7    	 -66850.000    	  146.19346    	 -1.0000000    
  1000078.9    	 -66850.000    	  146.05528    	 -1.0000000    
  1000085.6    	 -66850.000    	  145.87799    	 -1.0000000    
  1000094.4    	 -66850.000    	  145.65113    	 -1.0000000    
  1000105.8    	 -66850.000    	  145.36189    	 -1.0000000    
  1000120.6    	 -66850.000    	  144.99468    	 -1.0000000    
  1000139.9    	 -66850.000    	  144.53087    	 -1.0000000    
  1000165.0    	 -66850.000    	  143.94878    	 -1.0000000    
  1000197.6    	 -66850.000    	  143.24865    	 -1.0000000    
  1000239.9    	 -66850.000    	  142.36380    	 -1.0000000    
  1000254.6    	 -66850.000    	  142.79299    	 -1.0000000    
  1000269.2    	 -66850.000    	  143.22495    	 -1.0000000    
  1000283.8    	 -66850.000    	  143.64049    	 -1.0000000    
  1000298.4    	 -66850.000    	  144.01584    	 -1.0000000    
  1000313.1    	 -66850.000    	  144.39811    	 -1.0000000    
  1000327.7    	 -66850.000    	  144.77077    	 -1.0000000    
  1000342.3    	 -66850.000    	  145.13186    	 -1.0000000    
  1000356.9    	 -66850.000    	  145.48224    	 -1.0000000    
  1000371.6    	 -66850.000    	  145.82388    	 -1.0000000    
  1000386.2    	 -66850.000    	  146.15739    	 -1.0000000    
  1000400.8    	 -66850.000    	  146.48324    	 -1.0000000    
  1000415.4    	 -66850.000    	  146.80185    	 -1.0000000    
  1000430.1    	 -66850.000    	  147.11358    	 -1.0000000    
  1000444.7    	 -66850.000    	  147.41876    	 -1.0000000    
